"","X","Y","OBJECTID","waterCompanyName","siteNameEA","siteNameWASC","permitReferenceEA","permitReferenceWaSC","activityReference","assetType","treatmentType","outletDischargeNGRoriginal","outletDischargeNGRmappedRT","walesAssetNGR","wfdWaterbodyID","wfdWaterbodyName","recievingWaterName","shellfishWater","bathingWater","totalDurationAllSpillsHrs","countedSpills","longTermAverageSpillCount","investigationTrigger","investigationTriggerFlag","edmCommissionDate","edmCommissionYear","edmNumberofYearsOperational","noFullYearsEDMData","edmOperationPercent","edmOperationReason","edmOperationAction","highSpillOperationalReview","highSpillAction","highSpillEnhancement","riversTrustErrorFlag","riversTrustComments","Eastings","Northings","Latitude","Longitude","country","localAuthority","constituencyWestminster","cabaCatchment","eaWaterMgmtArea","eaPublicFaceArea","riverBasinDistrict","sourceDB"
"7889",250152.0999,54781.5556000005,7889,"South West Water","178 BEAUMONT ROAD CSO","178 BEAUMONT ROAD_CSO_PLYMOUTH","301789",301789,"A1","SO on sewer network","Not Applicable","SX5015054780","","","","","RIVER PLYM VIA SWS (ESTUARINE)","","",24.96,47,47.75,40,TRUE,"Commissioned in 2018 - full year data expected",2018,4,"4 (installed 2018)",100,"","","N/A - Ongoing investigation","N/A - Ongoing investigation","Other investigation - non-WINEP/Green Recovery",NA,NA,250150,54780,50.373782,-4.108680954,"England","Plymouth","Plymouth, Sutton and Devonport","Tamar","Devon and Cornwall","Devon Cornwall and the Isles of Scilly","South West","EA"
"7890",250152.0999,54781.5556000005,7890,"South West Water","JEPHSON ROAD CSO","XX JEPHSON RD_CSO_PLYMOUTH","301739",301739,"A1","SO on sewer network","Not Applicable","SX5015054780","","","","","RIVER PLYM VIA SWS (ESTUARINE)","","",13.45,23,12.5,40,FALSE,"Commissioned in 2018 - full year data expected",2018,4,"4 (installed 2018)",84,"Sensor failure / issue","Resolved - Apr","","","",NA,NA,250150,54780,50.373782,-4.108680954,"England","Plymouth","Plymouth, Sutton and Devonport","Tamar","Devon and Cornwall","Devon Cornwall and the Isles of Scilly","South West","EA"
"7891",246642.1192,54921.4960999992,7891,"South West Water","2 BICKHAM PARK ROAD CSO","2 BICKHAM PARK RD_CSO_PLYMOUTH","301747",301747,"A1","SO on sewer network","Not Applicable","SX4664054920","","","","","PENNYCOMEQUICK STREAM VIA SWS","","",0,0,0,40,FALSE,"Commissioned in 2017 - full year data expected",2017,5,"5 (installed 2017)",60,"Sensor failure / issue","Scheduled","","","",NA,NA,246640,54920,50.374135,-4.158062111,"England","Plymouth","Plymouth, Sutton and Devonport","Tamar","Devon and Cornwall","Devon Cornwall and the Isles of Scilly","South West","EA"
"7898",254751.9784,55581.5859999992,7898,"South West Water","3 ST PETERS CLOSE CSO","XX ST. PETER CLOSE_CSO_PLYMOUTH","301768",301768,"A1","SO on sewer network","Not Applicable","SX5475055580","","","","","LONG BROOK VIA SWS","","PLYMOUTH HOE (EAST)",199.99,79,91,40,TRUE,"Commissioned in 2017 - full year data expected",2017,5,"5 (installed 2017)",100,"","","N/A - Ongoing investigation","N/A - Ongoing investigation","Other investigation - non-WINEP/Green Recovery",NA,NA,254750,55580,50.38212657,-4.04434515,"England","Plymouth","South West Devon","Tamar","Devon and Cornwall","Devon Cornwall and the Isles of Scilly","South West","EA"
"7899",179893.4184,33921.2602999993,7899,"South West Water","CSO AT NORTH PARADE","XX NORTH PARADE_CSO_FALMOUTH","303011",303011,"A1","SO on sewer network","Not Applicable","SW7989033920","","","","","PENRYN RIVER(E)","Fal Estuary","",6.49,10,32.85714286,40,FALSE,"Commissioned pre-2016 - full year data expected",2016,6,"7 (installed 2015)",96,"","","","","",NA,NA,179890,33920,50.16435917,-5.083325582,"England","Cornwall","Truro and Falmouth","Cornwall","Devon and Cornwall","Devon Cornwall and the Isles of Scilly","South West","EA"
"7903",250582.0613,55871.5344999991,7903,"South West Water","28 FINCH CLOSE CSO","28 FINCH CLOSE_CSO_PLYMOUTH","301785",301785,"A1","SO on sewer network","Not Applicable","SX5058055870","","","","","TRIB OF RIVER PLYM VIA SWS","","",0,0,0.5,40,FALSE,"Commissioned in 2018 - full year data expected",2018,4,"4 (installed 2018)",100,"","","","","",NA,NA,250580,55870,50.38368743,-4.103071562,"England","Plymouth","Plymouth, Sutton and Devonport","Tamar","Devon and Cornwall","Devon Cornwall and the Isles of Scilly","South West","EA"
"7906",176083.4499,37691.1640000008,7906,"South West Water","39 ST MICHAELS COMBINED SEWER OF","39 ST MICHAELS ROAD_CSO_PONSONOOTH","301808",301808,"A1","SO on sewer network","Not Applicable","SW7608037690","","","GB108048001140","Kennal","RIVER KENNALL","Fal Estuary","",1107.52,99,88.33333333,40,TRUE,"Commissioned in 2019 - full year data expected",2019,3,"3 (installed 2019)",100,"","","Not asset maintenance - Hydraulic capacity","N/A - Hydraulic capacity","Other improvements - non-WINEP/Green Recovery",NA,NA,176080,37690,50.19678624,-5.138809043,"England","Cornwall","Camborne and Redruth","Cornwall","Devon and Cornwall","Devon Cornwall and the Isles of Scilly","South West","EA"
"7907",250162.0997,54781.5558000002,7907,"South West Water","OPP 44 CARMARTHEN ROAD CSO","44 CARMARTHEN RD_CSO_PLYMOUTH","301738",301738,"A1","SO on sewer network","Not Applicable","SX5016054780","","","","","RIVER PLYM (E)","","PLYMOUTH HOE (EAST)",4.55,22,15.2,40,FALSE,"Commissioned in 2017 - full year data expected",2017,5,"5 (installed 2017)",100,"","","","","",NA,NA,250160,54780,50.37378455,-4.108540426,"England","Plymouth","Plymouth, Sutton and Devonport","Tamar","Devon and Cornwall","Devon Cornwall and the Isles of Scilly","South West","EA"
"7908",250152.0999,54781.5556000005,7908,"South West Water","45 CRAVEN AVENUE CSO","45 CRAVEN AVENUE_CSO_PLYMOUTH","301771",301771,"A1","SO on sewer network","Not Applicable","SX5015054780","","","","","RIVER PLYM VIA SWS (ESTUARINE)","","",0.63,8,3.5,40,TRUE,"Commissioned in 2018 - full year data expected",2018,4,"4 (installed 2018)",100,"","","","","",NA,NA,250150,54780,50.373782,-4.108680954,"England","Plymouth","Plymouth, Sutton and Devonport","Tamar","Devon and Cornwall","Devon Cornwall and the Isles of Scilly","South West","EA"
"7910",250152.0999,54781.5556000005,7910,"South West Water","FARRINGDON ROAD CSO","X FARINGDON ROAD_CSO_PLYMOUTH","301732",301732,"A1","SO on sewer network","Not Applicable","SX5015054780","","","","","RIVER PLYM VIA SWS (ESTUARINE)","","PLYMOUTH HOE (EAST)",9,13,11.8,40,FALSE,"Commissioned in 2016 - full year data expected",2016,6,"5 (installed 2017)",92,"","","","","",NA,NA,250150,54780,50.373782,-4.108680954,"England","Plymouth","Plymouth, Sutton and Devonport","Tamar","Devon and Cornwall","Devon Cornwall and the Isles of Scilly","South West","EA"
