"Ref","Survey.ID","Survey.type","Site","Surveyor_codes","Device","Time.start","Date","Low.tide.time","Low.tide.height","Team.name","Weather","Verified_by","Date.uploaded","Uploaded_by"
1369,1249,"BiodivWracks_low_shore_limited","Tunnel Beach North","RPP5, RPP1197","Personal device","20:25:00",2023-06-13,"20:53:00",1.7,"NA","Sunny","Ben Holt","2023-06-14","RPP5"
1371,1251,"BiodivWracks_low_shore_limited","Firestone Bay","RPP816, RPP708","Personal device","09:51:00",2023-06-15,"10:36:00",1.34,"NA","Sunny","Not verified","2023-06-15","RPP708"
1376,1256,"BiodivWracks_low_shore_limited","Firestone Bay","RPP1796, RPP877","Personal device","09:50:00",2023-06-15,"10:36:00",1.34,"NA","Sunny","Not verified","2023-06-16","RPP1796"
1373,1253,"BiodivTrueCrabs_low_shore_limited","Firestone Bay","RPP816, RPP708","Personal device","10:14:00",2023-06-15,"10:36:00",1.35,"NA","Sunny","Not verified","2023-06-15","RPP708"
1374,1254,"BiodivWracks_low_shore_limited","Castle Beach Extreme South","RPP868, RPP889","Personal device","10:53:00",2023-06-15,"10:25:00",0.9,"NA","Sunny","Not verified","2023-06-15","RPP868"
1375,1255,"BiodivTrueCrabs_low_shore_limited","Castle Beach North","RPP868, RPP889","Personal device","10:10:00",2023-06-15,"10:25:00",0.9,"NA","Sunny","Not verified","2023-06-15","RPP868"
1377,1257,"BiodivTrueCrabs_low_shore_limited","Firestone Bay","RPP1796, RPP877","Personal device","10:17:00",2023-06-15,"10:36:00",1.34,"NA","Sunny","Not verified","2023-06-16","RPP1796"
1382,1262,"BiodivWracks_low_shore_limited","Tunnel Beach South","RPP804, RPP933","Personal device","11:30:00",2023-06-16,"11:19:00",0.89,"NA","Overcast","Not verified","2023-06-20","RPP804"
1383,1263,"BiodivTrueCrabs_low_shore_limited","Gylly North","RPP804, RPP933","Personal device","10:55:00",2023-06-16,"11:19:00",0.89,"NA","Overcast","Not verified","2023-06-20","RPP804"
1384,1264,"BiodivWracks_low_shore_limited","Castle Beach North","RPP1506, RPP804","Personal device","10:06:00",2023-06-15,"10:59:00",1.2,"NA","Sunny","Not verified","2023-06-20","RPP804"
1385,1265,"BiodivTrueCrabs_low_shore_limited","Castle Beach Extreme South","RPP1506, RPP804","Personal device","10:38:00",2023-06-15,"10:25:00",1.2,"NA","Sunny","Not verified","2023-06-20","RPP804"
1386,1266,"BiodivTrueCrabs_low_shore_limited","Castle Beach Extreme South","RPP5, Unregistered Rock Pooler","Personal device","10:55:00",2023-06-15,"10:33:00",1.2,"NA","Overcast","Ben Holt","2023-06-21","RPP5"
